Date,Product,Quantity_Sold,Inventory_Level,Price,Month
2023-04-13,Power Bank Ultra 10000mAh,10,128,80,4
2023-12-15,Smartphone X1,15,78,35,12
2023-09-28,Wireless Earphone Pro,14,142,80,9
2023-04-17,Smartwatch Series 5,4,154,150,4
2023-03-13,USB-C Hub 6-in-1,2,190,60,3
2023-07-08,Smartphone X1,12,61,20,7
2023-01-21,Power Bank Ultra 10000mAh,1,151,80,1
2023-04-13,Desk Fan CoolBreeze,5,131,150,4
2023-05-02,Smartphone X1,6,38,35,5
2023-08-03,Wireless Earphone Pro,11,145,150,8
2023-11-27,LED Desk Lamp Pro,8,113,15,11
2023-03-29,Power Bank Ultra 10000mAh,7,10,150,3
2023-04-10,Smartphone X1,4,38,150,4
2023-12-26,Laptop Charger Type-C,6,173,25,12
2023-06-01,Wireless Earphone Pro,16,188,50,6
2023-05-11,Tablet Stand Adjustable,15,174,20,5
2023-05-30,Desk Fan CoolBreeze,14,78,15,5
2023-11-05,Smartphone X1,12,62,15,11
2023-09-15,Tablet Stand Adjustable,12,133,50,9
2023-12-10,Bluetooth Speaker Mini,16,189,40,12
2023-10-21,Smartphone X1,15,97,80,10
2023-07-11,Tablet Stand Adjustable,13,92,150,7
2023-10-04,Wireless Earphone Pro,11,21,35,10
2023-06-10,Laptop Charger Type-C,17,61,150,6
2023-11-10,Smartphone X1,15,138,35,11
2023-01-22,Laptop Charger Type-C,14,144,150,1
2023-09-10,Wireless Earphone Pro,10,154,15,9
2023-08-24,Desk Fan CoolBreeze,12,136,40,8
2023-12-11,Smartphone X1,16,180,50,12
2023-02-18,Laptop Charger Type-C,15,80,60,2
2023-02-28,Laptop Charger Type-C,10,26,30,2
2023-06-19,USB-C Hub 6-in-1,4,196,20,6
2023-07-07,Tablet Stand Adjustable,9,12,60,7
2023-09-28,USB-C Hub 6-in-1,9,38,20,9
2023-07-09,Desk Fan CoolBreeze,11,31,80,7
2023-06-24,LED Desk Lamp Pro,11,175,50,6
2023-02-20,Wireless Earphone Pro,7,63,35,2
2023-12-30,Bluetooth Speaker Mini,10,116,60,12
2023-02-24,Desk Fan CoolBreeze,4,187,60,2
2023-09-01,LED Desk Lamp Pro,5,78,20,9
2023-11-16,LED Desk Lamp Pro,5,167,60,11
2023-05-11,Smartwatch Series 5,11,160,35,5
2023-11-03,Power Bank Ultra 10000mAh,9,129,50,11
2023-05-15,Laptop Charger Type-C,16,56,80,5
2023-01-21,USB-C Hub 6-in-1,9,158,30,1
2023-11-25,Laptop Charger Type-C,4,29,50,11
2023-06-16,Laptop Charger Type-C,2,160,25,6
2023-10-01,Desk Fan CoolBreeze,14,158,80,10
2023-03-30,Smartwatch Series 5,3,30,60,3
2023-11-12,LED Desk Lamp Pro,18,10,35,11
2023-01-14,Laptop Charger Type-C,6,152,40,1
2023-08-30,Wireless Earphone Pro,11,26,60,8
2023-09-22,Laptop Charger Type-C,18,60,15,9
2023-12-12,Desk Fan CoolBreeze,12,23,15,12
2023-02-22,Smartphone X1,5,68,40,2
2023-12-06,Power Bank Ultra 10000mAh,9,92,30,12
2023-04-02,LED Desk Lamp Pro,18,59,15,4
2023-09-21,Power Bank Ultra 10000mAh,19,133,30,9
2023-02-04,Tablet Stand Adjustable,3,43,80,2
2023-07-25,Tablet Stand Adjustable,9,15,40,7
2023-03-22,Laptop Charger Type-C,4,118,30,3
2023-02-19,Tablet Stand Adjustable,17,58,25,2
2023-12-26,Power Bank Ultra 10000mAh,17,15,30,12
2023-01-02,Tablet Stand Adjustable,2,126,150,1
2023-02-23,Smartwatch Series 5,9,127,80,2
2023-04-16,USB-C Hub 6-in-1,9,16,25,4
2023-09-17,Smartphone X1,5,106,40,9
2023-11-06,Tablet Stand Adjustable,15,188,20,11
2023-07-10,Power Bank Ultra 10000mAh,15,127,60,7
2023-08-06,Wireless Earphone Pro,3,138,35,8
2023-02-13,Power Bank Ultra 10000mAh,19,150,15,2
2023-06-11,Power Bank Ultra 10000mAh,3,180,150,6
2023-07-21,Desk Fan CoolBreeze,6,36,150,7
2023-09-27,Wireless Earphone Pro,4,125,20,9
2023-12-17,LED Desk Lamp Pro,13,140,60,12
2023-10-31,LED Desk Lamp Pro,13,67,60,10
2023-09-28,Tablet Stand Adjustable,11,98,15,9
2023-08-03,Smartphone X1,5,106,30,8
2023-09-09,Smartwatch Series 5,1,26,40,9
2023-07-09,Desk Fan CoolBreeze,9,182,60,7
2023-10-23,Smartwatch Series 5,17,110,60,10
2023-08-01,Smartphone X1,1,195,35,8
2023-07-27,Tablet Stand Adjustable,3,193,25,7
2023-08-25,Desk Fan CoolBreeze,15,191,25,8
2023-12-04,Desk Fan CoolBreeze,10,38,35,12
2023-02-22,Power Bank Ultra 10000mAh,8,111,50,2
2023-10-07,USB-C Hub 6-in-1,12,132,40,10
2023-08-05,Power Bank Ultra 10000mAh,15,63,60,8
2023-09-09,Power Bank Ultra 10000mAh,9,36,15,9
2023-07-07,LED Desk Lamp Pro,10,111,40,7
2023-02-10,Power Bank Ultra 10000mAh,9,126,20,2
2023-06-06,Wireless Earphone Pro,15,113,150,6
2023-01-15,Smartphone X1,1,54,60,1
2023-10-28,LED Desk Lamp Pro,2,123,50,10
2023-03-06,Desk Fan CoolBreeze,19,96,15,3
2023-12-11,Tablet Stand Adjustable,14,40,40,12
2023-11-23,Desk Fan CoolBreeze,8,173,80,11
2023-01-09,Power Bank Ultra 10000mAh,6,198,150,1
2023-12-10,Laptop Charger Type-C,12,46,60,12
2023-05-09,Smartwatch Series 5,15,45,40,5
2023-05-16,Smartphone X1,14,128,40,5
2023-03-04,Laptop Charger Type-C,1,14,15,3
2023-05-19,LED Desk Lamp Pro,11,183,150,5
2023-03-22,Smartphone X1,3,61,25,3
2023-06-12,Wireless Earphone Pro,19,58,25,6
2023-10-16,Power Bank Ultra 10000mAh,18,15,80,10
2023-09-18,Power Bank Ultra 10000mAh,2,132,30,9
2023-08-19,LED Desk Lamp Pro,7,147,35,8
2023-02-10,Laptop Charger Type-C,8,127,60,2
2023-01-28,Laptop Charger Type-C,19,32,15,1
2023-05-15,Desk Fan CoolBreeze,15,154,60,5
2023-07-20,Power Bank Ultra 10000mAh,10,119,15,7
2023-11-24,Laptop Charger Type-C,1,53,25,11
2023-09-25,Laptop Charger Type-C,6,50,15,9
2023-02-02,Tablet Stand Adjustable,13,152,150,2
2023-02-17,LED Desk Lamp Pro,14,181,30,2
2023-03-03,Desk Fan CoolBreeze,3,195,80,3
2023-08-04,Smartwatch Series 5,11,59,50,8
2023-10-20,Desk Fan CoolBreeze,3,61,25,10
2023-04-09,Power Bank Ultra 10000mAh,19,79,50,4
2023-06-21,Smartphone X1,10,195,50,6
2023-12-26,Power Bank Ultra 10000mAh,15,160,20,12
2023-08-02,Wireless Earphone Pro,11,181,30,8
2023-02-04,Bluetooth Speaker Mini,15,118,35,2
2023-08-15,Tablet Stand Adjustable,13,127,40,8
2023-04-11,LED Desk Lamp Pro,5,118,150,4
2023-05-11,Bluetooth Speaker Mini,4,104,15,5
2023-09-14,Bluetooth Speaker Mini,13,53,60,9
2023-01-05,Smartphone X1,9,189,35,1
2023-08-06,Smartphone X1,17,76,60,8
2023-09-12,Tablet Stand Adjustable,2,165,80,9
2023-12-25,Laptop Charger Type-C,5,76,80,12
2023-10-10,Desk Fan CoolBreeze,16,27,150,10
2023-07-26,Power Bank Ultra 10000mAh,7,164,15,7
2023-01-15,Smartphone X1,1,188,15,1
2023-12-12,Laptop Charger Type-C,12,69,25,12
2023-02-11,Power Bank Ultra 10000mAh,11,83,15,2
2023-06-28,Smartphone X1,12,58,40,6
2023-03-04,USB-C Hub 6-in-1,19,24,35,3
2023-12-18,Smartphone X1,12,82,35,12
2023-08-19,Tablet Stand Adjustable,12,152,60,8
2023-08-29,Wireless Earphone Pro,14,188,20,8
2023-02-21,Power Bank Ultra 10000mAh,2,57,150,2
2023-04-06,Smartwatch Series 5,2,81,150,4
2023-08-10,Desk Fan CoolBreeze,4,122,40,8
2023-08-19,Smartwatch Series 5,16,138,15,8
2023-08-25,Desk Fan CoolBreeze,10,144,20,8
2023-05-23,Smartphone X1,13,62,25,5
2023-06-20,Desk Fan CoolBreeze,2,168,25,6
2023-01-29,Power Bank Ultra 10000mAh,3,27,35,1
2023-02-05,USB-C Hub 6-in-1,19,21,40,2
2023-01-13,Tablet Stand Adjustable,6,57,50,1
2023-06-09,LED Desk Lamp Pro,19,39,50,6
2023-11-23,Smartwatch Series 5,19,106,15,11
2023-07-06,Smartphone X1,8,16,35,7
2023-08-31,Smartphone X1,14,101,40,8
2023-03-27,Desk Fan CoolBreeze,10,122,50,3
2023-10-11,Bluetooth Speaker Mini,3,12,30,10
2023-03-07,Desk Fan CoolBreeze,6,116,60,3
2023-06-19,Power Bank Ultra 10000mAh,15,72,80,6
2023-02-14,Wireless Earphone Pro,18,143,60,2
2023-03-03,Smartphone X1,14,111,80,3
2023-05-14,LED Desk Lamp Pro,19,24,30,5
2023-10-11,USB-C Hub 6-in-1,10,180,30,10
2023-01-28,LED Desk Lamp Pro,15,100,40,1
2023-04-18,Wireless Earphone Pro,4,90,20,4
2023-02-13,Tablet Stand Adjustable,2,155,150,2
2023-12-06,USB-C Hub 6-in-1,3,159,50,12
2023-10-13,Wireless Earphone Pro,7,70,40,10
2023-11-27,Desk Fan CoolBreeze,16,129,20,11
2023-05-08,LED Desk Lamp Pro,10,70,150,5
2023-12-14,LED Desk Lamp Pro,19,62,40,12
2023-08-19,USB-C Hub 6-in-1,17,35,15,8
2023-07-09,Wireless Earphone Pro,19,124,150,7
2023-08-13,Wireless Earphone Pro,5,49,60,8
2023-10-10,LED Desk Lamp Pro,13,97,150,10
2023-05-01,Smartphone X1,13,125,60,5
2023-04-26,USB-C Hub 6-in-1,11,145,25,4
2023-08-21,USB-C Hub 6-in-1,11,30,80,8
2023-09-16,Tablet Stand Adjustable,16,52,60,9
2023-12-25,LED Desk Lamp Pro,15,30,30,12
2023-07-17,Wireless Earphone Pro,17,140,15,7
2023-05-17,Wireless Earphone Pro,18,40,50,5
2023-11-14,Smartphone X1,19,164,25,11
2023-06-14,Laptop Charger Type-C,4,36,25,6
2023-08-13,Wireless Earphone Pro,5,82,35,8
2023-11-03,Wireless Earphone Pro,7,194,40,11
2023-08-22,Desk Fan CoolBreeze,2,106,40,8
2023-06-21,LED Desk Lamp Pro,1,170,40,6
2023-06-01,Power Bank Ultra 10000mAh,12,99,150,6
2023-11-11,Smartwatch Series 5,10,53,50,11
2023-06-09,LED Desk Lamp Pro,8,52,80,6
2023-04-06,Smartphone X1,1,40,60,4
2023-08-21,Smartphone X1,12,126,40,8
2023-06-29,Power Bank Ultra 10000mAh,2,85,25,6
2023-04-23,Tablet Stand Adjustable,10,154,60,4
2023-11-14,Power Bank Ultra 10000mAh,17,152,50,11
2023-02-21,LED Desk Lamp Pro,3,43,25,2
2023-09-25,Laptop Charger Type-C,7,89,30,9
2023-10-22,Bluetooth Speaker Mini,12,13,50,10
2023-04-23,Power Bank Ultra 10000mAh,8,81,150,4
2023-04-11,Laptop Charger Type-C,12,107,40,4
2023-04-23,USB-C Hub 6-in-1,3,119,20,4
2023-03-22,Desk Fan CoolBreeze,17,37,15,3
2023-07-06,Desk Fan CoolBreeze,9,139,25,7
2023-04-23,Tablet Stand Adjustable,10,26,35,4
2023-01-02,LED Desk Lamp Pro,6,67,35,1
2023-05-10,Desk Fan CoolBreeze,1,136,15,5
2023-08-08,Desk Fan CoolBreeze,12,18,80,8
2023-02-23,Smartphone X1,5,40,80,2
2023-12-09,Smartphone X1,13,97,15,12
2023-08-12,Power Bank Ultra 10000mAh,15,71,20,8
2023-08-13,USB-C Hub 6-in-1,11,28,150,8
2023-05-06,Laptop Charger Type-C,8,90,50,5
2023-05-10,Laptop Charger Type-C,5,116,20,5
2023-02-22,LED Desk Lamp Pro,2,64,60,2
2023-06-21,LED Desk Lamp Pro,12,165,40,6
2023-08-06,LED Desk Lamp Pro,2,121,80,8
2023-06-09,Wireless Earphone Pro,16,132,25,6
2023-07-17,USB-C Hub 6-in-1,3,187,80,7
2023-09-04,Wireless Earphone Pro,10,74,35,9
2023-11-20,Power Bank Ultra 10000mAh,19,133,25,11
2023-07-22,Power Bank Ultra 10000mAh,8,12,60,7
2023-07-03,Wireless Earphone Pro,7,189,60,7
2023-05-03,Laptop Charger Type-C,1,147,40,5
2023-09-12,Desk Fan CoolBreeze,12,30,30,9
2023-10-21,Smartphone X1,5,46,35,10
2023-10-07,USB-C Hub 6-in-1,16,24,15,10
2023-11-21,Bluetooth Speaker Mini,4,96,80,11
2023-04-08,Wireless Earphone Pro,17,129,40,4
2023-07-17,Laptop Charger Type-C,2,146,40,7
2023-08-28,Wireless Earphone Pro,12,53,30,8
2023-05-24,Tablet Stand Adjustable,1,48,60,5
2023-04-07,Laptop Charger Type-C,12,142,35,4
2023-07-20,Power Bank Ultra 10000mAh,12,34,25,7
2023-05-04,Smartphone X1,12,65,35,5
2023-07-06,Bluetooth Speaker Mini,19,130,35,7
2023-11-22,LED Desk Lamp Pro,17,99,80,11
2023-12-15,Wireless Earphone Pro,11,73,25,12
2023-09-16,USB-C Hub 6-in-1,13,189,20,9
2023-05-28,USB-C Hub 6-in-1,8,98,25,5
2023-09-09,LED Desk Lamp Pro,10,121,40,9
2023-12-12,Desk Fan CoolBreeze,8,85,30,12
2023-05-27,Tablet Stand Adjustable,8,146,35,5
2023-05-28,USB-C Hub 6-in-1,9,147,25,5
2023-12-18,LED Desk Lamp Pro,7,19,40,12
2023-07-18,Smartwatch Series 5,14,71,50,7
2023-11-04,Wireless Earphone Pro,2,99,60,11
2023-05-08,Smartphone X1,11,69,30,5
2023-02-08,Desk Fan CoolBreeze,8,156,150,2
2023-12-04,Desk Fan CoolBreeze,13,116,15,12
2023-12-26,Smartphone X1,15,47,40,12
2023-05-09,Tablet Stand Adjustable,3,143,35,5
2023-09-24,Laptop Charger Type-C,14,152,30,9
2023-05-31,Smartphone X1,15,56,60,5
2023-10-25,LED Desk Lamp Pro,2,182,25,10
2023-04-09,Power Bank Ultra 10000mAh,19,142,50,4
2023-09-20,Smartphone X1,12,87,150,9
2023-09-09,Tablet Stand Adjustable,4,62,60,9
2023-05-24,USB-C Hub 6-in-1,3,71,50,5
2023-12-12,Smartphone X1,5,32,15,12
2023-04-22,USB-C Hub 6-in-1,3,53,30,4
2023-03-01,Bluetooth Speaker Mini,15,61,20,3
2023-01-02,Smartphone X1,19,55,80,1
2023-10-31,Power Bank Ultra 10000mAh,2,156,30,10
2023-09-11,Tablet Stand Adjustable,12,93,150,9
2023-05-20,Wireless Earphone Pro,5,56,20,5
2023-02-06,LED Desk Lamp Pro,17,100,20,2
2023-06-09,Desk Fan CoolBreeze,14,61,15,6
2023-01-09,LED Desk Lamp Pro,10,33,80,1
2023-08-21,Wireless Earphone Pro,3,154,20,8
2023-04-09,LED Desk Lamp Pro,4,98,40,4
2023-05-27,Laptop Charger Type-C,6,183,60,5
2023-10-31,Wireless Earphone Pro,16,73,20,10
2023-07-27,Smartphone X1,7,128,20,7
2023-05-11,Smartphone X1,15,165,60,5
2023-06-01,USB-C Hub 6-in-1,11,187,25,6
2023-02-23,Laptop Charger Type-C,1,73,15,2
2023-04-30,Power Bank Ultra 10000mAh,5,165,20,4
2023-06-10,Tablet Stand Adjustable,13,95,20,6
2023-04-26,Wireless Earphone Pro,14,65,80,4
2023-03-16,Tablet Stand Adjustable,9,68,50,3
2023-04-23,Smartwatch Series 5,17,142,25,4
2023-04-14,Desk Fan CoolBreeze,15,191,35,4
2023-12-06,Desk Fan CoolBreeze,7,181,25,12
2023-09-11,Laptop Charger Type-C,12,179,60,9
2023-08-15,Smartwatch Series 5,6,134,80,8
2023-04-22,Smartwatch Series 5,16,194,15,4
2023-04-09,Desk Fan CoolBreeze,5,56,30,4
2023-06-02,Wireless Earphone Pro,9,130,80,6
2023-12-15,Power Bank Ultra 10000mAh,14,162,150,12
2023-12-04,Smartphone X1,8,111,60,12
2023-07-13,Laptop Charger Type-C,14,53,50,7
2023-11-06,Laptop Charger Type-C,12,24,150,11
2023-06-12,Desk Fan CoolBreeze,10,114,150,6
2023-07-27,Power Bank Ultra 10000mAh,13,60,15,7
2023-06-18,Smartwatch Series 5,19,62,35,6
2023-06-10,Desk Fan CoolBreeze,15,43,30,6
2023-03-09,Desk Fan CoolBreeze,8,133,20,3
2023-10-16,Smartwatch Series 5,10,86,40,10
2023-10-04,Laptop Charger Type-C,3,145,20,10
2023-10-31,Wireless Earphone Pro,3,132,150,10
2023-05-15,LED Desk Lamp Pro,5,79,25,5
2023-07-14,Smartphone X1,16,30,40,7
2023-05-08,LED Desk Lamp Pro,17,117,15,5
2023-02-02,USB-C Hub 6-in-1,6,117,30,2
2023-06-25,Bluetooth Speaker Mini,16,144,15,6
2023-01-22,Smartphone X1,2,99,60,1
2023-08-26,Laptop Charger Type-C,15,88,50,8
2023-06-07,Laptop Charger Type-C,18,193,150,6
2023-02-07,Power Bank Ultra 10000mAh,1,186,25,2
2023-08-18,USB-C Hub 6-in-1,19,51,15,8
2023-12-31,LED Desk Lamp Pro,12,160,40,12
2023-02-20,Tablet Stand Adjustable,8,61,150,2
2023-09-21,USB-C Hub 6-in-1,6,111,30,9
2023-10-10,Smartphone X1,12,114,25,10
2023-01-27,Laptop Charger Type-C,7,88,35,1
2023-08-14,Smartphone X1,18,121,35,8
2023-10-04,Tablet Stand Adjustable,14,190,40,10
2023-10-13,LED Desk Lamp Pro,8,113,50,10
2023-04-07,USB-C Hub 6-in-1,14,25,35,4
2023-10-11,Smartphone X1,5,105,150,10
2023-11-13,Smartwatch Series 5,9,46,30,11
2023-10-31,Tablet Stand Adjustable,8,155,50,10
2023-05-27,Laptop Charger Type-C,2,157,20,5
2023-01-04,Desk Fan CoolBreeze,16,55,30,1
2023-02-04,Desk Fan CoolBreeze,13,11,150,2
2023-07-11,Tablet Stand Adjustable,7,128,150,7
2023-02-18,Smartwatch Series 5,16,96,60,2
2023-01-17,Wireless Earphone Pro,7,103,50,1
2023-06-21,Smartphone X1,14,12,30,6
2023-08-08,Smartwatch Series 5,14,183,50,8
2023-06-07,Laptop Charger Type-C,12,120,40,6
2023-02-15,USB-C Hub 6-in-1,1,186,80,2
2023-01-06,USB-C Hub 6-in-1,1,10,50,1
2023-04-09,Smartphone X1,12,114,35,4
2023-08-21,Smartwatch Series 5,15,31,150,8
2023-02-06,Power Bank Ultra 10000mAh,4,151,60,2
